anchor,target,context,score
abatement,abatement of pollution,A47,0.5
abatement,eliminating process,A47,0.5
abatement,minimising sounds,A47,0.5
abatement,multi pollution abatement device,A47,0.5
abatement,noise reduction,A47,0.5
abatement,pollution abatement,A47,0.5
abatement,pollution abatement incinerator,A47,0.5
abatement,source items pollution abatement technology,A47,0.5
abatement,emission abatement,A61,0.5
abatement,prevention,A61,0.5
abatement,pollution abatement,A62,0.5
abatement,abatement apparatus,C01,0.5
abatement,abatement apparatus,F24,0.5
abatement,diminishing,F24,0.5
abatement,eliminating,F24,0.5
abatement,eliminating pollutants,F24,0.5
abatement,removing air pollutants,F24,0.5
abatement,subsiding,F24,0.5
abatement,treating emissions,F24,0.5
abatement,noise abatement,F28,0.5
abatement,noise abatement,H01,0.5
abatement,emission abatement,H04,0.5
abnormal position,abnormal position data,B23,0.5
abnormal position,inoperative condition,B23,0.5
abnormal position,inoperative position,B23,0.5
abnormal position,positions,B41,0.5
abnormal position,abnormal manner,D03,0.5
abnormal position,irregular configuration,D03,0.5
abnormal position,locked position,D03,0.5
abnormal position,relative position,D03,0.5
abnormal position,unusal arrangement,D03,0.5
abnormal position,abnormal,E03,0.5
abnormal position,axial position,E03,0.5
abnormal position,emergency condition,E03,0.5
abnormal position,fixed failure,E03,0.5
abnormal position,hardware abnormality,E03,0.5
abnormal position,inoperative position,E03,0.5
abnormal position,open position,E03,0.5
abnormal position,operating abnormality,E03,0.5
abnormal position,operative position,E03,0.5
abnormal position,upper position,E03,0.5
absorbent properties,adsorbent properties,C08,0.5
absorbent properties,dehumidifying properties,C08,0.5
absorbent properties,hygroscopic,C08,0.5
absorbent properties,hygroscopic properties,C08,0.5
absorbent properties,liquid holding capacity,C08,0.5
absorbent properties,moisture barrier properties,C08,0.5
absorbent properties,moisture proof properties,C08,0.5
absorbent properties,absorbing polymer,D01,0.5
absorbent properties,adsorbent properties,D01,0.5
absorbent properties,adsorption performance,D01,0.5
absorbent properties,capable of absorbing,D01,0.5
absorbent properties,physical properties,D01,0.5
absorbent properties,properties,D01,0.5
absorbent properties,soaking,D01,0.5
acan,hyalectans,C07,0.5
acan,lecticans,C07,0.5
acan,protein coding gene,C07,0.5
accept information,approve information,A45,0.5
accept information,authorization of information,A45,0.5
accept information,contain information,A45,0.5
accept information,data accepted,A45,0.5
accept information,display a information,A45,0.5
accept information,display an information,A45,0.5
accept information,display information,A45,0.5
accept information,indicate information,A45,0.5
accept information,information,A45,0.5
accept information,receiving information,A45,0.5
